any,territori,codi_municipi,nom,illa,nivell,us,num_bens,valor_total_milers_eur,valor_mitja_eur
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Residencial,454.0,42503.96,93621.06
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Sanidad y beneficencia,0.0,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Otros usos,,,
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,TOTAL USOS,4523.0,372123.19,82273.53
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Almacén y estacionamiento,408.0,2840.45,6961.89
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Comercial,65.0,3329.59,51224.46
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Cultural,2.0,,
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Ocio y hostelería,16.0,11132.57,695785.63
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Industrial,133.0,28265.9,212525.56
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Deportivo,26.0,9814.89,377495.77
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Suelo vacante,360.0,25106.9,69741.39
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Oficinas,4.0,891.48,222870.0
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Edificio singular,3.0,,
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Religioso,5.0,804.58,160916.0
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Residencial,3500.0,282951.24,80843.21
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Sanidad y beneficencia,1.0,,
2025,07010 Bunyola,07010,Bunyola,MALLORCA,Municipi,Otros usos,,,
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,TOTAL USOS,59634.0,7079271.07,118711.99
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Almacén y estacionamiento,11889.0,117567.37,9888.75
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Comercial,4481.0,351041.94,78340.09
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Cultural,27.0,75362.16,2791191.11
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Ocio y hostelería,4610.0,1612143.13,349705.67
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Industrial,1232.0,106458.23,86410.9
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Deportivo,129.0,127626.06,989349.3
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Suelo vacante,2600.0,332247.2,127787.38
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Oficinas,173.0,32843.89,189849.08
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Edificio singular,11.0,18972.75,1724795.45
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Religioso,9.0,3622.87,402541.11
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Espectáculos,6.0,9839.27,1639878.33
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Residencial,34434.0,4268434.69,123959.89
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Sanidad y beneficencia,33.0,23111.52,700349.09
2025,07011 Calvià,07011,Calvià,MALLORCA,Municipi,Otros usos,,0.0,
