TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca
Palma,Palma,07040,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,43.87,Valor provisional,Valor provisional,P,,,,
Palma,Palma,07040,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,50.18,Valor provisional,Valor provisional,P,,,,
Palma,Palma,07040,12/2025,12/2025,2025-M12,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,49.38,Valor provisional,Valor provisional,P,,,,
Pollença,Pollença,07042,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Pollença,Pollença,07042,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Pollença,Pollença,07042,12/2025,12/2025,2025-M12,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Ses Salines,Ses Salines,07059,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Ses Salines,Ses Salines,07059,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Ses Salines,Ses Salines,07059,12/2025,12/2025,2025-M12,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,12/2025,12/2025,2025-M12,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,12/2025,12/2025,2025-M12,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,,Baja fiabilidad,Baixa fiabilitat,U,,,,
